DOCUMENT ID,PARTY TYPE,NAME,school,BOROUGH,BLOCK,LOT,STREET NUMBER,STREET NAME,DOC. TYPE,DOC. DATE,DOC. AMOUNT,boro_label
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1998,10,641,WEST 131 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1998,57,640,WEST 132 STREET,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1999,36,3291,BROADWAY,,,,Manhattan
2026040300493001,1,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,Columbia University,1,1986,6,573,WEST 131 STREET,,,,Manhattan
2026040700445001,1,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,Columbia University,1,2138,30,3975,BROADWAY,,,,Manhattan
2026040700445001,1,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,Columbia University,1,2138,40,180,FT WASHINGTON AVENUE,,,,Manhattan
2026042700495001,1,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,Columbia University,2,5789,33,3260,HENRY HUDSON PARKWAY,DEED,04/21/2026,64000000,Bronx
2026012300982001,2,NEW YORK UNIVERSITY,New York University,3,6050,45,437,88 STREET,,,,Brooklyn
2026021800523004,2,NEW YORK UNIVERSITY,New York University,4,7010,6,76-10,174TH STREET,,,,Queens
2026012600621001,1,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,New York University,1,621,68,65,CHARLES STREET,DEED,01/21/2026,33350000,Manhattan
2026012600621001,1,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,New York University,1,621,67,63,CHARLES STREET,DEED,01/21/2026,33350000,Manhattan
2025122200755001,1,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1996,14,637,WEST 125TH STREET,,,,Manhattan
2025122301012001,2,NEW YORK UNIVERSITY SCHOOL OF,New York University,3,325,1101,323,CLINTON STREET,DEED,12/19/2025,7029000,Brooklyn
2025122301012002,1,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,New York University,3,325,1101,323,CLINTON STREET,,,,Brooklyn
2025122200755001,2,THE TRUSTEES OF COLUMBIA UNIVERSITY,Columbia University,1,1996,14,637,WEST 125TH STREET,,,,Manhattan
2025120100256003,1,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,New York University,1,618,1415,122,GREENWICH AVENUE,DEED,11/17/2025,5250000,Manhattan
2025110300717001,2,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,Columbia University,1,2004,1002,2286,12TH AVE,,,,Manhattan
2025110300717001,2,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,Columbia University,1,2004,1102,2286,12TH AVE,,,,Manhattan
2025110300717001,2,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,Columbia University,1,2004,1103,2286,12TH AVE,,,,Manhattan
2025110300717001,2,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,Columbia University,1,2004,1101,2286,12TH AVE,,,,Manhattan
2025110300717001,2,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,Columbia University,1,2004,1003,2286,12TH AVE,,,,Manhattan
2025100901162001,2,NEW YORK UNIVERSITY,New York University,1,887,30,195,LEXINGTON AVENUE,,,,Manhattan
2025102200444001,2,NEW YORK UNIVERSITY,New York University,1,568,1,35,5 AVENUE,,,,Manhattan
2025102200444001,2,NEW YORK UNIVERSITY,New York University,1,570,42,7,EAST 12 STREET,,,,Manhattan
2025102200444001,2,NEW YORK UNIVERSITY,New York University,1,547,1,100,WASHINGTON SQUARE EAST,,,,Manhattan
2025102200444001,2,NEW YORK UNIVERSITY,New York University,1,843,22,21-25,UNION SQUARE,,,,Manhattan
2025102200444001,2,NEW YORK UNIVERSITY,New York University,1,568,32,7,EAST 10 STREET,,,,Manhattan
2025102200444001,2,NEW YORK UNIVERSITY,New York University,1,562,30,787,BROADWAY,,,,Manhattan
2025101601018001,2,NEW YORK UNIVERSITY,New York University,1,100,1121,150,NASSAU STREET,,,,Manhattan
2025081400241004,1,NEW YORK UNIVERSITY,New York University,1,1373,1334,425,MAIN STREET,,,,Manhattan
2025081400241003,2,NEW YORK UNIVERSITY,New York University,1,1373,1334,425,MAIN STREET,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,962,1054,550,1ST AVENUE,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,962,1028,550,1ST AVENUE,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,966,1,606,FIRST AVENUE,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,962,1108,550,1ST AVENUE,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,962,80,522,1 AVENUE,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,962,1109,550,1ST AVENUE,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,962,1071,550,1ST AVENUE,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,962,108,540,1 AVENUE,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,962,1072,550,1ST AVENUE,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,962,1029,550,1ST AVENUE,,,,Manhattan
2025081500401002,2,NEW YORK UNIVERSITY,New York University,1,962,1110,550,1ST AVENUE,,,,Manhattan
