DOCUMENT ID,RECORD TYPE,PARTY TYPE,NAME,ADDRESS 1,ADDRESS 2,COUNTRY,CITY,STATE,ZIP,GOOD THROUGH DATE,owner_group,BOROUGH,BLOCK,LOT,STREET NUMBER,STREET NAME,DOC. TYPE,DOC. DATE,DOC. AMOUNT,boro_label
2026012600621001,P,1,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,"70 WASHINGTON SQUARE SOUTH, 11TH FLOOR",,US,NEW YORK,NY,10012,2026 Jan 31 12:00:00 AM,New York University,1,621,67,63,CHARLES STREET,DEED,01/21/2026,33350000,Manhattan
2025122301012001,P,2,NEW YORK UNIVERSITY SCHOOL OF,110 WEST 3RD STREET,2ND FLOOR,US,NEW YORK,NY,10012,2025 Dec 31 12:00:00 AM,New York University,3,325,1101,323,CLINTON STREET,DEED,12/19/2025,7029000,Brooklyn
2025122301012002,P,1,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,110 WEST 3RD STREET,2ND FLOOR,US,NEW YORK,NY,10012,2025 Dec 31 12:00:00 AM,New York University,3,325,1101,323,CLINTON STREET,,,,Brooklyn
2025120500062001,P,2,NEW YORK UNIVERSITY FEDERAL CREDIT UNION,"726 BROADWAY, SUITE 110",,US,NEW YORK,NY,10003,2025 Dec 31 12:00:00 AM,New York University,4,11101,10,106-15,215 STREET,,,,Queens
2025120100256003,P,1,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,40 WASHINGTON SQUARE SOUTH,,US,NEW YORK,NY,10012,2025 Dec 31 12:00:00 AM,New York University,1,618,1415,122,GREENWICH AVENUE,DEED,11/17/2025,5250000,Manhattan
2025100901162001,P,2,NEW YORK UNIVERSITY,550 FIRST AVENUE,,US,NEW YORK,NY,10016,2025 Oct 31 12:00:00 AM,New York University,1,887,30,195,LEXINGTON AVENUE,,,,Manhattan
2025102200444001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQ SOUTH,,US,NEW YORK,NY,10012,2025 Oct 31 12:00:00 AM,New York University,1,568,1,35,5 AVENUE,,,,Manhattan
2025102200444001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQ SOUTH,,US,NEW YORK,NY,10012,2025 Oct 31 12:00:00 AM,New York University,1,570,42,7,EAST 12 STREET,,,,Manhattan
2025102200444001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQ SOUTH,,US,NEW YORK,NY,10012,2025 Oct 31 12:00:00 AM,New York University,1,547,1,100,WASHINGTON SQUARE EAST,,,,Manhattan
2025102200444001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQ SOUTH,,US,NEW YORK,NY,10012,2025 Oct 31 12:00:00 AM,New York University,1,843,22,21-25,UNION SQUARE,,,,Manhattan
2025102200444001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQ SOUTH,,US,NEW YORK,NY,10012,2025 Oct 31 12:00:00 AM,New York University,1,568,32,7,EAST 10 STREET,,,,Manhattan
2025102200444001,P,2,NEW YORK UNIVERSITY,70 WASHINGTON SQ SOUTH,,US,NEW YORK,NY,10012,2025 Oct 31 12:00:00 AM,New York University,1,562,30,787,BROADWAY,,,,Manhattan
2025100200921011,P,2,NEW YORK UNIVERSITY ON BEHALF OF ITS NYU GROSSMAN,SCHOOL OF MEDICINE,"ONE PARK AVENUE, 5TH FLOOR",US,NEW YORK,NY,99999,2025 Oct 31 12:00:00 AM,New York University,1,940,12,321,EAST 34 STREET,,,,Manhattan
