school,boro_label,BLOCK,LOT,STREET NUMBER,STREET NAME,NAME,PARTY TYPE,DOC. TYPE,DOC. DATE,is_new
New York University,Manhattan,568,1,35,5 AVENUE,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,570,42,7,EAST 12 STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,547,1,100,WASHINGTON SQUARE EAST,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,843,22,21-25,UNION SQUARE,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,568,32,7,EAST 10 STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,562,30,787,BROADWAY,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,100,1121,150,NASSAU STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,1373,1334,425,MAIN STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,962,1054,550,1ST AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,962,1028,550,1ST AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,966,1,606,FIRST AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,962,1108,550,1ST AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,962,80,522,1 AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,962,1109,550,1ST AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,962,1071,550,1ST AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,962,108,540,1 AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,962,1072,550,1ST AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,962,1029,550,1ST AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,962,1110,550,1ST AVENUE,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,1996,56,651,WEST 125 STREET,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,DEED,07/25/2025,True
Columbia University,Manhattan,1996,61,663,WEST 125 STREET,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,DEED,07/25/2025,True
The New School,Manhattan,575,61,21,WEST 11TH STREET,THE NEW SCHOOL FOR SOCIAL RESEARCH,1,DEED,07/30/2025,True
New York University,Manhattan,939,28,577,FIRST AVENUE,NEW YORK UNIVERSITY,2,,,False
Columbia University,Manhattan,1998,38,602,WEST 132 STREET,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,DEED,07/25/2025,True
Columbia University,Manhattan,1998,29,3259,BROADWAY,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,DEED,07/25/2025,True
Columbia University,Manhattan,1998,26,605,WEST 131 STREET,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,DEED,07/25/2025,True
New York University,Manhattan,1373,1381,425,MAIN STREET,NEW YORK UNIVERSITY,1,DEED,07/21/2025,True
New York University,Brooklyn,1094,77,503,11 STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,554,1003,770,BROADWAY,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,244,1112,134,PIERREPONT STREET,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,1,DEED,06/18/2025,True
Fordham University,Manhattan,1132,1,106,COLUMBUS AVENUE,"UNIVERSITY, FORDHAM",1,,,True
New York University,Manhattan,554,1001,770,BROADWAY,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,554,1002,770,BROADWAY,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,538,40,566,LA GUARDIA PLACE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,547,25,21,WASHINGTON PLACE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,549,1,3,WASHINGTON SQUARE N,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,546,10,18,WASHINGTON PLACE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,541,23,55,WASHINGTON SQUARE S,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,543,53,139,MAC DOUGAL STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,541,33,249,SULLIVAN STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,535,8,567,LA GUARDIA PLACE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,541,1,40,WASHINGTON SQUARE S,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,535,1,44,WEST 4 STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,547,5,24,WAVERLY PLACE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,547,8,23,WASHINGTON PLACE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,546,11,35,WEST 4 STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,548,21,25,WAVERLY PLACE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,540,14,130,MAC DOUGAL STREET,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,552,26,37,WASHINGTON SQUARE W,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,541,18,51,WASHINGTON SQUARE S,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,930,34,421,1 AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,962,100,433,EAST 25 STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,931,21,334,EAST 26 STREET,NEW YORK UNIVERSITY,2,,,False
Fordham University,Bronx,3273,1,441,EAST FORDHAM ROAD,FORDHAM UNIVERSITY,1,,,True
Columbia University,Manhattan,1895,16,2881,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY,2,,,False
Columbia University,Manhattan,1895,8,611,WEST 112 STREET,TRUSTEES OF COLUMBIA UNIVERSITY,2,,,True
Columbia University,Manhattan,1871,1045,245,WEST 99TH STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN CITY OF NEW YOR,2,,,True
New York University,Manhattan,1291,1105,555,MADISON AVE,NEW YORK UNIVERSITY,2,DEEDO,02/10/2025,True
New York University,Manhattan,1291,1102,555,MADISON AVE,NEW YORK UNIVERSITY,2,DEEDO,02/10/2025,True
New York University,Manhattan,1291,1104,555,MADISON AVE,NEW YORK UNIVERSITY,2,DEEDO,02/10/2025,True
New York University,Manhattan,1291,1101,555,MADISON AVE,NEW YORK UNIVERSITY,2,DEEDO,02/10/2025,True
New York University,Manhattan,1291,1103,555,MADISON AVE,NEW YORK UNIVERSITY,2,DEEDO,02/10/2025,True
New York University,Brooklyn,820,1001,5423,FIRST AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Brooklyn,820,1002,5423,FIRST AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Brooklyn,820,1003,5423,FIRST AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Brooklyn,820,1007,5423,FIRST AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Brooklyn,820,1004,5423,FIRST AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Brooklyn,820,1006,5423,FIRST AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Brooklyn,820,1005,5423,FIRST AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Brooklyn,820,58,5423,1 AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,1841,1215,455,CENTRAL PARK WEST,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,2,,,True
New York University,Manhattan,1291,1001,555,MADISON AVE,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,546,40,1,WEST 4 ST,NEW YORK UNIVERSITY,2,DEED,01/30/2025,True
Columbia University,Bronx,5923,336,4515,DOUGLAS AVENUE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN CITY OF NY,2,,,True
New York University,Manhattan,559,12,106,EAST 14 STREET,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,559,22,126,EAST 14 STREET,NEW YORK UNIVERSITY,2,,,False
The New School,Manhattan,570,1144,21,EAST 12TH STREET,THE NEW SCHOOL,1,,,True
New York University,Manhattan,206,1106,123,BAXTER STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,888,1402,1,PARK AVE,NEW YORK UNIVERSITY,1,DEEDO,09/13/2024,True
New York University,Manhattan,888,1401,1,PARK AVE,NEW YORK UNIVERSITY,1,DEEDO,09/13/2024,True
Columbia University,Manhattan,1563,24,1569,YORK AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN NYC,2,,,True
New York University,Brooklyn,1162,1403,529,PARK PLACE,NEW YORK UNIVERSITY,2,,,True
Pratt Institute,Brooklyn,1920,1,200,WILLOUGHBY AVENUE,PRATT INSTITUTE,1,,,True
New York University,Manhattan,888,1203,1,PARK AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,461,6,35,COOPER SQUARE,NEW YORK UNIVERSITY,2,DEED,08/15/2024,False
New York University,Manhattan,1139,1502,1980,BROADWAY,NEW YORK UNIVERSITY,1,DEED,08/13/2024,True
New York University,Manhattan,1139,1501,1980,BROADWAY,NEW YORK UNIVERSITY,1,DEED,08/13/2024,True
New York University,Manhattan,1139,1503,1980,BROADWAY,NEW YORK UNIVERSITY,1,DEED,08/13/2024,True
New York University,Manhattan,1239,1206,2461,BROADWAY,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,1,,,True
Columbia University,Manhattan,998,29,1177,AVENUE OF THE AMERICAS,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,,,True
The New School,Manhattan,743,1003,300,WEST 20TH STREET,NEW SCHOOL UNIVERSITY,1,,,True
New York University,Manhattan,546,1,79,WASHINGTON SQUARE EAST,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,1291,1003,555,MADISON AVE,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,1291,1002,555,MADISON AVE,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,1833,1106,382,CENTRAL PARK WEST,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,DEED,05/22/2024,True
New York University,Brooklyn,683,1102,88,33RD ST,NEW YORK UNIVERSITY,1,DEED,02/29/2024,True
New York University,Brooklyn,683,1103,88,33RD ST,NEW YORK UNIVERSITY,1,DEED,02/29/2024,True
New York University,Brooklyn,683,1101,88,33RD ST,NEW YORK UNIVERSITY,1,DEED,02/29/2024,True
New York University,Brooklyn,683,1002,88,33RD ST,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,1841,1293,455,CENTRAL PARK WEST,THE TRUSTEES OF COLUMBIA UNIVERSITY,1,,,True
New York University,Manhattan,1599,1159,1400,5 AVENUE,NEW YORK UNIVERSITY,2,,,True
Pratt Institute,Brooklyn,1923,1,238,CLASSON AVEUNE,PRATT INSTITUTE,1,,,True
Columbia University,Manhattan,1841,1291,455,CENTRAL PARK WEST,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,10/31/2023,True
New York University,Manhattan,900,1025,215,EAST 19TH STREET,NEW YORK UNIVERSITY,2,DEED,05/01/2023,True
New York University,Manhattan,900,1062,215,EAST 19TH STREET,NEW YORK UNIVERSITY,2,DEED,05/01/2023,True
New York University,Manhattan,1000,29,1211,AVENUE OF THE AMER,NYU SCHOOL OF LAW FOUNDATION,2,,,True
New York University,Manhattan,969,1180,415,EAST 37TH STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,339,1207,291,UNION STREET,THE NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,574,77,69,WEST 10TH STREET,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY NY,2,,,True
Pratt Institute,Brooklyn,1922,1,225,STEUBEN STREET,PRATT INSTITUTE,1,,,True
Pratt Institute,Brooklyn,1921,64,212,STEUBEN STREET,PRATT INSTITUTE,1,,,True
Pratt Institute,Brooklyn,1921,19,203,GRAND AVENUE,PRATT INSTITUTE,1,,,True
Pratt Institute,Brooklyn,1921,1,333,WAVERLY AVENUE,PRATT INSTITUTE,1,,,True
Pratt Institute,Brooklyn,1920,2,249,RYERSON STREET,PRATT INSTITUTE,1,,,False
Pratt Institute,Brooklyn,1919,100,349,DEKALB AVENUE,PRATT INSTITUTE,1,,,True
Pratt Institute,Brooklyn,1919,50,189,WILLOUGHBY AVENUE,PRATT INSTITUTE,1,,,True
Pratt Institute,Brooklyn,1919,1,166,WILLOUGHBY AVENUE,PRATT INSTITUTE,1,,,True
New York University,Manhattan,939,9037,,1 AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,939,9036,,1 AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,939,9035,,1 AVENUE,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,939,9034,,1 AVENUE,NEW YORK UNIVERSITY,1,,,True
St. John's University,Queens,7021,1,8150A,UTOPIA PARKWAY,ST JOHN'S UNIVERSITY,1,,,True
Columbia University,Bronx,5745,1028,2521,PALISADE AVENUE,THE TRUSTEES OF COLUMBIA UNIVERSITY,2,,,True
Columbia University,Manhattan,1994,60,181,CLAREMONT AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,False
Columbia University,Manhattan,1961,1,1145,AMSTERDAM AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,False
Columbia University,Manhattan,1881,3,2828,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,True
Columbia University,Manhattan,1883,57,542,WEST 112TH STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,False
Columbia University,Manhattan,1884,1,545,WEST 112TH STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,True
Columbia University,Manhattan,1867,23,44-47,MORNINGSIDE DRIVE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,False
Columbia University,Manhattan,1867,54,403,WEST 115 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,False
Columbia University,Manhattan,1962,56,90,MORNINGSIDE DRIVE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,False
Columbia University,Manhattan,1963,16,100,MORNINGSIDE DRIVE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,False
Columbia University,Manhattan,1963,19,106,MORNINGSIDE DRIVE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,True
Columbia University,Manhattan,1963,48,110,MORNINGSIDE DRIVE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,False
New York University,Manhattan,900,1015,215,EAST 19TH STREET,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,2139,250,100,HAVEN AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,False
New York University,Manhattan,1291,51,555,MADISON AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,481,1,400,BROOME STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,3896,63,4,VAN SICLEN COURT,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,545,53,400,LAFAYETTE STREET,NEW YORK UNIVERSITY,2,DEED,04/18/2023,True
New York University,Manhattan,637,1707,166,PERRY STREET,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,1,DEED,03/20/2023,True
New York University,Manhattan,637,1710,166,PERRY STREET,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,1,DEED,03/20/2023,True
New York University,Brooklyn,836,19,150,56TH STREET,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,1990,33,47,CLAREMONT AVENUE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,,,False
Columbia University,Manhattan,1991,1,470,RIVERSIDE DRIVE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,,,True
New York University,Brooklyn,323,23,453,HENRY STREET,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,2,DEED,01/13/2023,True
Columbia University,Manhattan,2124,35,1150,ST NICHOLAS AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,True
New York University,Manhattan,465,37,34,STUYVESANT STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,683,1001,88,33RD ST,NEW YORK UNIVERSITY,2,,,True
New York University,Bronx,5914,349,4807,ARLINGTON AVENUE,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,2,,,True
Columbia University,Manhattan,2004,1001,2286,12TH AVE,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,1,,,True
Fordham University,Manhattan,1923,1017,257,WEST 117 STREET,FORDHAM UNIVERSITY,2,,,True
Columbia University,Manhattan,2094,1202,3599,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY,2,,,True
Columbia University,Manhattan,1883,54,534,WEST 112 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,True
New York University,Manhattan,888,1201,1,PARK AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,888,1202,1,PARK AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,149,1005,445,GOLD STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,149,1004,445,GOLD STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,149,1003,445,GOLD STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,149,1002,1,DEKALB AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,149,1001,1,DEKALB AVENUE,NEW YORK UNIVERSITY,2,,,True
Columbia University,Brooklyn,943,1107,137,4TH AVENUE,THE TRUSTEES OF COLUMBIA UNIV. IN THE CITY OF NY,2,,,True
Columbia University,Manhattan,1242,1019,212,WEST 95TH,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,2,,,True
New York University,Manhattan,601,1304,160,LEROY STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,896,1,129,3 AVENUE,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,1984,33,1400,AMSTERDAM AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,True
Columbia University,Manhattan,1263,38,590,5 AVENUE,THE TRUSTEES OF THE COLUMBIA UNIVERSITY,1,,,True
Columbia University,Manhattan,1841,1206,455,CENTRAL PARK WEST,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
New York University,Manhattan,803,1053,315,7 AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,2058,17,3,METROTECH CENTER,NEW YORK UNIVERSITY,2,DEED,08/31/2022,True
New York University,Brooklyn,2059,1,4,METROTECH CENTER,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,1029,53,1790,BROADWAY,THE TRUSTEES OF COLUMBIA UNIVERSITY IN,1,,,True
New York University,Manhattan,1373,1420,425,MAIN STREET,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,2139,51,1,HAVEN AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,True
New York University,Manhattan,547,30,721,BROADWAY,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,545,26,740,BROADWAY,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,2214,41,425,WEST 218 STREET,THE TRUSTEES OF COLUMBIA UNIV. IN THE CITY OF NY,2,DEED,06/06/2022,True
Columbia University,Manhattan,2214,1,5094,BROADWAY,THE TRUSTEES OF COLUMBIA UNIV. IN THE CITY OF NY,2,DEED,06/06/2022,True
New York University,Manhattan,1373,1458,425,MAIN STREET,NEW YORK UNIVERSITY,1,,,True
Columbia University,Manhattan,2004,171,,WEST 132 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,03/30/2022,True
Columbia University,Manhattan,2004,72,2308,JOE DIMAGGIO HIGHWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,03/30/2022,True
Columbia University,Manhattan,2004,71,2302,JOE DIMAGGIO HIGHWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,03/30/2022,True
Columbia University,Manhattan,2004,68,2298,JOE DIMAGGIO HIGHWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,03/30/2022,True
Columbia University,Manhattan,2004,65,2298,12TH AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,03/30/2022,True
Columbia University,Manhattan,2004,50,,WEST 131 STREET,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,03/30/2022,True
Columbia University,Manhattan,2004,46,2290,JOE DIMAGGIO HIGHWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,03/30/2022,True
St. John's University,Queens,7021,50,81-50B,UTOPIA PARKWAY,ST JOHNS UNIVERSITY,1,,,True
St. John's University,Queens,7021,75,81-50C,UTOPIA PARKWAY,ST JOHNS UNIVERSITY,1,,,True
St. John's University,Queens,7021,100,81-50D,UTOPIA PARKWAY,ST JOHNS UNIVERSITY,1,,,True
The New School,Manhattan,921,51,318,EAST 15TH STREET,THE NEW SCHOOL,2,DEED,03/31/2022,True
New York University,Manhattan,1047,1075,340,WEST 57TH STREET,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,1998,17,615,WEST 131 STREET,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,1,,,True
Columbia University,Manhattan,825,1003,35,WEST 23RD STREET,COLUMBIA UNIVERSITY IN THE CITY OFNEW YORK,1,,,True
Columbia University,Manhattan,1171,4115,80,RIVERSIDE BOULEVARD,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,True
New York University,Manhattan,523,44,194,MERCER STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,531,20,383,LAFAYETTE STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,544,50,20,COOPER SQUARE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,533,1,1,WASHINGTON SQ VLLGE,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,524,66,100,BLEECKER STREET,NEW YORK UNIVERSITY,2,,,False
New York University,Bronx,5808,354,316,WEST 245 STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,613,20,230,WEST 11TH STREET,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,1829,25,223,WEST 113 STREET,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,1,,,True
Columbia University,Manhattan,2004,102,2328,12TH AVENUE,THE TRUSTEES OF COLUMBIA UNIV IN THE CITY OF NY,2,DEED,12/30/2021,True
Columbia University,Manhattan,1999,1,,12TH AVENUE (ADJACENT TO),TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,12/30/2021,True
Columbia University,Manhattan,1998,49,624,WEST 132 STREET (ADJACENT TO),TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,12/30/2021,True
Columbia University,Manhattan,1999,32,3287,BROADWAY (ADJACENT TO),TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,12/30/2021,True
Columbia University,Manhattan,1999,31,3285,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,12/30/2021,True
Columbia University,Manhattan,1999,29,3281,BROADWAY (ADJACENT TO),TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,12/30/2021,True
Columbia University,Manhattan,1999,30,3283,BROADWAY (ADJACENT TO),TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,2,DEED,12/30/2021,True
Columbia University,Manhattan,2094,1205,3599,BROADWAY,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF,1,DEED,12/21/2021,True
New York University,Manhattan,611,13,52,CHARLES STREET,NEW YORK UNIVERSITY SCHOOL OF LAW FOUNDATION,2,,,True
New York University,Brooklyn,390,58,291,WARREN STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Brooklyn,1159,70,311,PARK PLACE,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,734,1031,448,WEST 37TH STREET,NEW YORK UNIVERSITY,2,,,True
The New School,Manhattan,608,29,118,WEST 13TH STREET,THE NEW SCHOOL,1,DEED,09/09/2021,True
New York University,Manhattan,460,1,1,COOPER SQUARE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,538,1001,58,WASHINGTON SQUARE S,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,1258,21,11,WEST 42ND STREET,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,2244,100,5141,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW,1,,,True
New York University,Manhattan,547,26,3,WASHINGTON PLACE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,547,19,7,WASHINGTON PLACE,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,2139,229,104,HAVEN AVENUE,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NY,2,,,True
New York University,Manhattan,900,1117,215,EAST 19TH STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,900,1114,215,EAST 19TH STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,900,1106,215,EAST 19TH STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,900,1112,215,EAST 19TH STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,900,1104,215,EAST 19TH STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,900,1120,215,EAST 19TH STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,900,1101,215,EAST 19TH STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Manhattan,900,1098,215,EAST 19TH STREET,NEW YORK UNIVERSITY,1,,,True
New York University,Bronx,4454,48,2413,HERING AVENUE,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,2094,1204,3599,BROADWAY,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE,1,DEED,06/24/2021,True
New York University,Brooklyn,5029,42,258,LINCOLN ROAD,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,2123,86,514,WEST 168 STREET,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE,2,,,True
New York University,Manhattan,1581,5,505,EAST 84TH STREET,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,1849,1108,18,MORNINGSIDE AVENUE,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,465,1,31,3 AVENUE,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,467,1,67,3 AVENUE,NEW YORK UNIVERSITY,2,,,False
New York University,Manhattan,551,7,19,WASHINGTON SQUARE N,NEW YORK UNIVERSITY,2,,,True
New York University,Manhattan,551,1,2,5 AVENUE,NEW YORK UNIVERSITY,2,,,True
Columbia University,Manhattan,1995,26,3191,BROADWAY,TRUSTEES OF COLUMBIA UNIVERSITY,1,,,True
The New School,Manhattan,843,45,79,5 AVENUE,NEW SCHOOL (THE),2,,,True
New York University,Manhattan,545,6,708,BROADWAY,NEW YORK UNIVERSITY,2,,,True
