parcel_key,corporationname,building_address,boro,block,lot,property_type
3-1043-36,NEW YORK UNIVERSITY,"362A 14TH ST., Brooklyn, NY",BROOKLYN,1043,36,D2
1-574-50,NEW YORK UNIVERSITY,"11 WEST 10 STREET, Manhattan, NY",MANHATTAN,574,50,PA
4-9889-1,"ST JOHNS UNIVERSITY, NEW YORK","84-01 HOMELAWN STREET, Queens, NY",QUEENS,9889,1,PA
1-2099-40,COLUMBIA UNIVERSITY,"614 WEST 153RD STREET, Manhattan, NY",MANHATTAN,2099,40,CR
2-5922-264,COLUMBIA UNIVERSITY,"Block 5922 Lot 264, Bronx, NY",BRONX,5922,264,PA
1-1997-33,COLUMBIA UNIVERSITY,"3249 BROADWAY, Manhattan, NY",MANHATTAN,1997,33,OT
1-793-5,COLUMBIA UNIVERSITY,"147 WEST   17 STREET, Manhattan, NY",MANHATTAN,793,5,PA
1-1152-53,COLUMBIA UNIVERSITY,"236 WEST   61 STREET, Manhattan, NY",MANHATTAN,1152,53,PA
1-1152-13,COLUMBIA UNIVERSITY,"229 WEST 60 STREET, Manhattan, NY",MANHATTAN,1152,13,AP
1-1152-52,COLUMBIA UNIVERSITY,"234 WEST 61 STREET, Manhattan, NY",MANHATTAN,1152,52,PA
1-1152-43,COLUMBIA UNIVERSITY,"218 WEST 61ST   STREET, Manhattan, NY",MANHATTAN,1152,43,VR
1-1033-41,COLUMBIA UNIVERSITY,"314 WEST 43RD STREET, Manhattan, NY",MANHATTAN,1033,41,CR
1-819-59,THE NEW SCHOOL,"30 WEST 18TH STREET, Manhattan, NY",MANHATTAN,819,59,AP
1-550-17,NEW YORK UNIVERSITY,"60 WASHINGTON MEWS, Manhattan, NY",MANHATTAN,550,17,PA
1-550-18,NEW YORK UNIVERSITY,"62 WASHINGTON MEWS, Manhattan, NY",MANHATTAN,550,18,PA
1-550-16,NEW YORK UNIVERSITY,"58 WASHINGTON MEWS, Manhattan, NY",MANHATTAN,550,16,PA
2-5940-360,COLUMBIA UNIVERSITY,"4911 ARLINGTON AVENUE, Bronx, NY",BRONX,5940,360,D1
1-1393-1001,NEW YORK UNIVERSITY,"3 EAST 78TH STREET, Manhattan, NY",MANHATTAN,1393,1001,OT
1-2123-81,COLUMBIA UNIVERSITY,"49 AUDUBON AVE, Manhattan, NY",MANHATTAN,2123,81,VN
1-2123-80,COLUMBIA UNIVERSITY,"51 AUDUBON AVENUE, Manhattan, NY",MANHATTAN,2123,80,CR
1-2123-82,COLUMBIA UNIVERSITY,"51 AUDUBON AVENUE, Manhattan, NY",MANHATTAN,2123,82,PA
1-700-38,COLUMBIA UNIVERSITY,"506 WEST 29TH   STREET, Manhattan, NY",MANHATTAN,700,38,PA
1-700-27,COLUMBIA UNIVERSITY,"509 WEST 28TH STREET, Manhattan, NY",MANHATTAN,700,27,PA
1-535-33,NEW YORK UNIVERSITY,"13 WEST 3RD   STREET, Manhattan, NY",MANHATTAN,535,33,VR
1-52-8,NEW YORK UNIVERSITY,"133 GREENWICH STREET, Manhattan, NY",MANHATTAN,52,8,CR
1-35-10,COLUMBIA UNIVERSITY,"111 WALL STREET, Manhattan, NY",MANHATTAN,35,10,OF
1-939-34,NEW YORK UNIVERSITY,"587 1 AVENUE, Manhattan, NY",MANHATTAN,939,34,OT
1-33-34,COLUMBIA UNIVERSITY,"Block 33 Lot 34, Manhattan, NY",MANHATTAN,33,34,PA
1-33-10,COLUMBIA UNIVERSITY,"Block 33 Lot 10, Manhattan, NY",MANHATTAN,33,10,PA
1-33-41,COLUMBIA UNIVERSITY,"Block 33 Lot 41, Manhattan, NY",MANHATTAN,33,41,PA
1-33-33,COLUMBIA UNIVERSITY,"Block 33 Lot 33, Manhattan, NY",MANHATTAN,33,33,PA
1-1996-50,COLUMBIA UNIVERSITY,"632 WEST 130 STREET, Manhattan, NY",MANHATTAN,1996,50,VN
1-1865-1,COLUMBIA UNIVERSITY,"1021 AMSTERDAM AVENUE, Manhattan, NY",MANHATTAN,1865,1,RS
1-930-20,NEW YORK UNIVERSITY,"335 EAST   24 STREET, Manhattan, NY",MANHATTAN,930,20,PA
1-918-1013,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1013,CC
1-918-1011,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1011,CC
1-918-1012,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1012,CC
1-918-1003,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1003,CC
1-918-1002,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1002,CC
1-918-1009,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1009,CC
1-918-1014,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1014,CC
1-918-1010,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1010,CC
1-918-1001,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1001,CC
1-918-1004,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1004,CC
1-918-1005,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1005,CC
1-1963-25,COLUMBIA UNIVERSITY,"414 WEST 121ST STREET, Manhattan, NY",MANHATTAN,1963,25,SP
1-35-9999,COLUMBIA UNIVERSITY,"Block 35 Lot 9999, Manhattan, NY",MANHATTAN,35,9999,PA
3-1933-70,PRATT INSTITUTE,"372 DEKALB AVENUE, Brooklyn, NY",BROOKLYN,1933,70,SP
4-16295-30,COLUMBIA UNIVERSITY,"417 BEACH 144 STREET, Queens, NY",QUEENS,16295,30,D1
3-476-1096,NEW YORK UNIVERSITY,"505 COURT STREET, Brooklyn, NY",BROOKLYN,476,1096,SC
3-301-35,THE NEW SCHOOL,"173 WARREN STREET, Brooklyn, NY",BROOKLYN,301,35,RG
1-969-5,NEW YORK UNIVERSITY,"656 1 AVENUE, Manhattan, NY",MANHATTAN,969,5,PA
4-7167-3,NEW YORK UNIVERSITY,"73-43 179 STREET, Queens, NY",QUEENS,7167,3,D1
1-1995-35,COLUMBIA UNIVERSITY,"619 WEST 125 STREET, Manhattan, NY",MANHATTAN,1995,35,PA
1-1994-59,COLUMBIA UNIVERSITY,"Block 1994 Lot 59, Manhattan, NY",MANHATTAN,1994,59,PA
2-3228-49,NEW YORK UNIVERSITY,"170 WEST 180 STREET, Bronx, NY",BRONX,3228,49,D3
2-3228-32,NEW YORK UNIVERSITY,"1950 OSBORNE PLACE, Bronx, NY",BRONX,3228,32,PA
2-3234-25,NEW YORK UNIVERSITY,"Block 3234 Lot 25, Bronx, NY",BRONX,3234,25,PA
2-3224-34,NEW YORK UNIVERSITY,"Block 3224 Lot 34, Bronx, NY",BRONX,3224,34,PA
2-3232-103,NEW YORK UNIVERSITY,"2184 CEDAR AVENUE, Bronx, NY",BRONX,3232,103,D2
2-3224-15,NEW YORK UNIVERSITY,"Block 3224 Lot 15, Bronx, NY",BRONX,3224,15,PA
2-3224-50,NEW YORK UNIVERSITY,"2195 ANDREWS AVENUE NORTH, Bronx, NY",BRONX,3224,50,PA
2-3228-39,NEW YORK UNIVERSITY,"194 WEST  180 STREET, Bronx, NY",BRONX,3228,39,PA
2-3228-58,NEW YORK UNIVERSITY,"195 WEST 179TH STREET, Bronx, NY",BRONX,3228,58,D1
