parcel_key,corporationname,building_address,boro,block,lot,property_type
1-835-41,COLUMBIA UNIVERSITY,"33 W 33RD ST, Manhattan, NY",MANHATTAN,835,41,CC
1-1231-1089,COLUMBIA UNIVERSITY,"225 WEST 83RD   STREET, Manhattan, NY",MANHATTAN,1231,1089,SC
3-1924-14,PRATT INSTITUTE,"263 CLASSON AVENUE, Brooklyn, NY",BROOKLYN,1924,14,OT
1-850-1337,THE NEW SCHOOL,"280 PARK AVENUE SOUTH, Manhattan, NY",MANHATTAN,850,1337,SC
1-1995-53,COLUMBIA UNIVERSITY,"558 RIVERSIDE DRIVE, Manhattan, NY",MANHATTAN,1995,53,PA
1-1375-46,FORDHAM UNIVERSITY,"Block 1375 Lot 46, Manhattan, NY",MANHATTAN,1375,46,PA
1-1875-10,COLUMBIA UNIVERSITY,"2701 BROADWAY, Manhattan, NY",MANHATTAN,1875,10,AP
1-1875-53,COLUMBIA UNIVERSITY,"2709 BROADWAY, Manhattan, NY",MANHATTAN,1875,53,AP
1-537-30,NEW YORK UNIVERSITY,"528 LA GUARDIA PLACE, Manhattan, NY",MANHATTAN,537,30,D4
2-5922-122,COLUMBIA UNIVERSITY,"Block 5922 Lot 122, Bronx, NY",BRONX,5922,122,PA
1-918-1017,NEW YORK UNIVERSITY,"240 EAST 38TH   STREET, Manhattan, NY",MANHATTAN,918,1017,CC
2-3273-318,FORDHAM UNIVERSITY,"548 EAST 191 STREET, Bronx, NY",BRONX,3273,318,PA
1-1410-33,COLUMBIA UNIVERSITY,"177 EAST 75TH STREET, Manhattan, NY",MANHATTAN,1410,33,AP
4-3223-39,COLUMBIA UNIVERSITY,"94-07 71ST AVENUE, Queens, NY",QUEENS,3223,39,D1
1-2141-17,COLUMBIA UNIVERSITY,"4070 BROADWAY, Manhattan, NY",MANHATTAN,2141,17,CR
1-550-26,NEW YORK UNIVERSITY,"10 EAST 8 STREET, Manhattan, NY",MANHATTAN,550,26,CR
1-550-3,NEW YORK UNIVERSITY,"3 NORTH MOORE STREET, Manhattan, NY",MANHATTAN,550,3,PA
1-550-2,NEW YORK UNIVERSITY,"2 WASHINGTON SQUARE N, Manhattan, NY",MANHATTAN,550,2,PA
2-5921-264,COLUMBIA UNIVERSITY,"Block 5921 Lot 264, Bronx, NY",BRONX,5921,264,PA
2-5921-255,COLUMBIA UNIVERSITY,"Block 5921 Lot 255, Bronx, NY",BRONX,5921,255,PA
2-5922-255,COLUMBIA UNIVERSITY,"Block 5922 Lot 255, Bronx, NY",BRONX,5922,255,PA
2-5922-121,COLUMBIA UNIVERSITY,"Block 5922 Lot 121, Bronx, NY",BRONX,5922,121,PA
2-5921-121,COLUMBIA UNIVERSITY,"Block 5921 Lot 121, Bronx, NY",BRONX,5921,121,PA
2-5921-670,COLUMBIA UNIVERSITY,"Block 5921 Lot 670, Bronx, NY",BRONX,5921,670,PA
2-5921-122,COLUMBIA UNIVERSITY,"Block 5921 Lot 122, Bronx, NY",BRONX,5921,122,PA
2-5922-670,COLUMBIA UNIVERSITY,"Block 5922 Lot 670, Bronx, NY",BRONX,5922,670,PA
1-1237-1106,COLUMBIA UNIVERSITY,"250 WEST 90TH STREET, Manhattan, NY",MANHATTAN,1237,1106,SC
1-931-26,NEW YORK UNIVERSITY,"429 1 AVENUE, Manhattan, NY",MANHATTAN,931,26,PA
2-3273-321,FORDHAM UNIVERSITY,"558 EAST 191 STREET, Bronx, NY",BRONX,3273,321,AP
1-1158-1567,COLUMBIA UNIVERSITY,"200 W END AVE, Manhattan, NY",MANHATTAN,1158,1567,SC
1-541-8001,NEW YORK UNIVERSITY,"40 WASHINGTON SQUARE S, Manhattan, NY",MANHATTAN,541,8001,OT
1-1961-31,COLUMBIA UNIVERSITY,"Block 1961 Lot 31, Manhattan, NY",MANHATTAN,1961,31,PA
1-1961-61,COLUMBIA UNIVERSITY,"Block 1961 Lot 61, Manhattan, NY",MANHATTAN,1961,61,PA
1-1961-44,COLUMBIA UNIVERSITY,"Block 1961 Lot 44, Manhattan, NY",MANHATTAN,1961,44,PA
1-1961-26,COLUMBIA UNIVERSITY,"Block 1961 Lot 26, Manhattan, NY",MANHATTAN,1961,26,PA
1-2124-17,COLUMBIA UNIVERSITY,"1130 ST. NICHOLAS AVENUE, Manhattan, NY",MANHATTAN,2124,17,PA
1-2124-21,COLUMBIA UNIVERSITY,"Block 2124 Lot 21, Manhattan, NY",MANHATTAN,2124,21,PA
1-546-31,NEW YORK UNIVERSITY,"4 WASHINGTON PLACE, Manhattan, NY",MANHATTAN,546,31,OT
1-1115-1181,NEW YORK UNIVERSITY,"25 CENTRAL PARK WEST, Manhattan, NY",MANHATTAN,1115,1181,SC
1-1884-154,COLUMBIA UNIVERSITY,"Block 1884 Lot 154, Manhattan, NY",MANHATTAN,1884,154,PA
2-3273-236,FORDHAM UNIVERSITY,"2540 HUGHES AVENUE, Bronx, NY",BRONX,3273,236,PA
1-1019-49,COLUMBIA UNIVERSITY,"Block 1019 Lot 49, Manhattan, NY",MANHATTAN,1019,49,PA
1-2180-87,COLUMBIA UNIVERSITY,"4261 BROADWAY, Manhattan, NY",MANHATTAN,2180,87,CR
1-1332-37,COLUMBIA UNIVERSITY,"222 EAST 59TH STREET, Manhattan, NY",MANHATTAN,1332,37,OF
1-1019-24,COLUMBIA UNIVERSITY,"1585 BROADWAY, Manhattan, NY",MANHATTAN,1019,24,PA
1-1019-41,COLUMBIA UNIVERSITY,"Block 1019 Lot 41, Manhattan, NY",MANHATTAN,1019,41,PA
1-1019-46,COLUMBIA UNIVERSITY,"Block 1019 Lot 46, Manhattan, NY",MANHATTAN,1019,46,PA
1-535-49,NEW YORK UNIVERSITY,"Block 535 Lot 49, Manhattan, NY",MANHATTAN,535,49,PA
1-535-52,NEW YORK UNIVERSITY,"Block 535 Lot 52, Manhattan, NY",MANHATTAN,535,52,PA
1-535-43,NEW YORK UNIVERSITY,"Block 535 Lot 43, Manhattan, NY",MANHATTAN,535,43,PA
1-535-57,NEW YORK UNIVERSITY,"Block 535 Lot 57, Manhattan, NY",MANHATTAN,535,57,PA
1-535-56,NEW YORK UNIVERSITY,"Block 535 Lot 56, Manhattan, NY",MANHATTAN,535,56,PA
1-535-55,NEW YORK UNIVERSITY,"Block 535 Lot 55, Manhattan, NY",MANHATTAN,535,55,PA
1-535-50,NEW YORK UNIVERSITY,"Block 535 Lot 50, Manhattan, NY",MANHATTAN,535,50,PA
1-535-47,NEW YORK UNIVERSITY,"Block 535 Lot 47, Manhattan, NY",MANHATTAN,535,47,PA
1-535-48,NEW YORK UNIVERSITY,"Block 535 Lot 48, Manhattan, NY",MANHATTAN,535,48,PA
1-1171-1236,THE NEW SCHOOL,"200 RIVERSIDE BOULEVARD, Manhattan, NY",MANHATTAN,1171,1236,SC
4-255-23,COLUMBIA UNIVERSITY,"33-02 48TH AVENUE, Queens, NY",QUEENS,255,23,CR
1-540-24,NEW YORK UNIVERSITY,"230 SULLIVAN STREET, Manhattan, NY",MANHATTAN,540,24,AP
3-5210-17,COLUMBIA UNIVERSITY,"1247 FLATBUSH AVENUE, Brooklyn, NY",BROOKLYN,5210,17,AP
1-1115-1501,COLUMBIA UNIVERSITY,"61 WEST 62ND STREET, Manhattan, NY",MANHATTAN,1115,1501,SC
3-1905-1002,PRATT INSTITUTE,"536 MYRTLE AVENUE, Brooklyn, NY",BROOKLYN,1905,1002,CC
1-37-23,COLUMBIA UNIVERSITY,"180 MAIDEN LANE, Manhattan, NY",MANHATTAN,37,23,CR
2-5709-19,COLUMBIA UNIVERSITY,"3050 CORLEAR AVENUE, Bronx, NY",BRONX,5709,19,OT
3-2316-1,NEW YORK UNIVERSITY,"1 NORTH    7 STREET, Brooklyn, NY",BROOKLYN,2316,1,PA
3-2308-1,NEW YORK UNIVERSITY,"32 NORTH 8TH   STREET, Brooklyn, NY",BROOKLYN,2308,1,OT
3-1918-51,PRATT INSTITUTE,"238 HALL STREET, Brooklyn, NY",BROOKLYN,1918,51,AP
3-1918-18,PRATT INSTITUTE,"269 WASHINGTON AVENUE, Brooklyn, NY",BROOKLYN,1918,18,AP
1-1895-75,COLUMBIA UNIVERSITY,"Block 1895 Lot 75, Manhattan, NY",MANHATTAN,1895,75,PA
1-1889-1267,NEW YORK UNIVERSITY,"845 WEST END AVENUE, Manhattan, NY",MANHATTAN,1889,1267,SC
1-1158-1609,COLUMBIA UNIVERSITY,"200 WEST END AVENUE, Manhattan, NY",MANHATTAN,1158,1609,SC
1-2120-33,COLUMBIA UNIVERSITY,"2042 AMSTERDAM AVENUE, Manhattan, NY",MANHATTAN,2120,33,CR
1-1895-1,COLUMBIA UNIVERSITY,"400 RIVERSIDE DRIVE, Manhattan, NY",MANHATTAN,1895,1,SP
2-5923-1057,COLUMBIA UNIVERSITY,"4465 DOUGLAS AVE, Bronx, NY",BRONX,5923,1057,SC
1-936-4222,NEW YORK UNIVERSITY,"330 EAST 33RD STREET, Manhattan, NY",MANHATTAN,936,4222,CC
1-1875-42,COLUMBIA UNIVERSITY,"220 WEST 104 STREET, Manhattan, NY",MANHATTAN,1875,42,OT
1-1875-18,COLUMBIA UNIVERSITY,"213-223 WEST 103RD ST., Manhattan, NY",MANHATTAN,1875,18,PA
1-575-72,THE NEW SCHOOL,"45 WEST 11TH STREET, Manhattan, NY",MANHATTAN,575,72,SP
1-1216-1234,COLUMBIA UNIVERSITY,"160 WEST 86TH STREET, Manhattan, NY",MANHATTAN,1216,1234,CC
2-3273-243,FORDHAM UNIVERSITY,"2522 HUGHES AVENUE, Bronx, NY",BRONX,3273,243,PA
1-524-1,NEW YORK UNIVERSITY,"505 LA GUARDIA PLACE, Manhattan, NY",MANHATTAN,524,1,CR
1-602-1074,NEW YORK UNIVERSITY,"1 MORTON SQUARE, Manhattan, NY",MANHATTAN,602,1074,SC
1-1497-48,COLUMBIA UNIVERSITY,"60 EAST 86TH   STREET, Manhattan, NY",MANHATTAN,1497,48,AP
1-573-18,NEW YORK UNIVERSITY,"48 WEST 10TH STREET, Manhattan, NY",MANHATTAN,573,18,D2
1-51-15,NEW YORK UNIVERSITY,"90 TRINITY PLACE, Manhattan, NY",MANHATTAN,51,15,OT
1-531-1006,NEW YORK UNIVERSITY,"692 BROADWAY, Manhattan, NY",MANHATTAN,531,1006,PA
4-6715-34,"ST JOHNS UNIVERSITY, NEW YORK","147-10 UNION TURNPIKE, Queens, NY",QUEENS,6715,34,D3
1-230-1304,NEW YORK UNIVERSITY,"15 MERCER STREET, Manhattan, NY",MANHATTAN,230,1304,SC
1-541-31,NEW YORK UNIVERSITY,"89 WEST 3 STREET, Manhattan, NY",MANHATTAN,541,31,AP
1-541-1002,NEW YORK UNIVERSITY,"245 SULLIVAN ST, Manhattan, NY",MANHATTAN,541,1002,SC
1-541-1001,NEW YORK UNIVERSITY,"245 SULLIVAN ST, Manhattan, NY",MANHATTAN,541,1001,SC
1-1937-43,COLUMBIA UNIVERSITY,"224 WEST 132 STREET, Manhattan, NY",MANHATTAN,1937,43,D2
4-7761-150,NEW YORK UNIVERSITY,"222-10 77 AVENUE, Queens, NY",QUEENS,7761,150,D1
1-1364-5,COLUMBIA UNIVERSITY,"415 EAST 52 STREET, Manhattan, NY",MANHATTAN,1364,5,SP
2-3273-265,FORDHAM UNIVERSITY,"585 EAST FORDHAM ROAD, Bronx, NY",BRONX,3273,265,CR
1-1871-1134,COLUMBIA UNIVERSITY,"2628 BROADWAY, Manhattan, NY",MANHATTAN,1871,1134,RG
3-1905-1001,PRATT INSTITUTE,"524 MYRTLE AVENUE, Brooklyn, NY",BROOKLYN,1905,1001,CC
1-35-32,COLUMBIA UNIVERSITY,"Block 35 Lot 32, Manhattan, NY",MANHATTAN,35,32,PA
3-271-1,"ST JOHNS UNIVERSITY, NEW YORK","205 STATE STREET, Brooklyn, NY",BROOKLYN,271,1,AP
3-271-47,"ST JOHNS UNIVERSITY, NEW YORK","96 SCHERMERHORN STREET, Brooklyn, NY",BROOKLYN,271,47,SP
1-1377-1104,NEW YORK UNIVERSITY,"1 EAST 62ND STREET, Manhattan, NY",MANHATTAN,1377,1104,MC
1-1883-1170,COLUMBIA UNIVERSITY,"516 WEST  112 STREET, Manhattan, NY",MANHATTAN,1883,1170,PA
1-1942-146,COLUMBIA UNIVERSITY,"228 WEST 137 STREET, Manhattan, NY",MANHATTAN,1942,146,D1
4-1461-29,NEW YORK UNIVERSITY,"35-48 88TH STREET, Queens, NY",QUEENS,1461,29,D1
1-525-45,NEW YORK UNIVERSITY,"Block 525 Lot 45, Manhattan, NY",MANHATTAN,525,45,PA
1-525-46,NEW YORK UNIVERSITY,"144 BLEECKER STREET, Manhattan, NY",MANHATTAN,525,46,CR
3-286-1401,NEW YORK UNIVERSITY,"175 PACIFIC ST, Brooklyn, NY",BROOKLYN,286,1401,SC
1-1997-30,COLUMBIA UNIVERSITY,"3247 BROADWAY, Manhattan, NY",MANHATTAN,1997,30,OT
1-816-5,COLUMBIA UNIVERSITY,"Block 816 Lot 5, Manhattan, NY",MANHATTAN,816,5,PA
1-816-4,COLUMBIA UNIVERSITY,"536 AVENUE OF THE AMER, Manhattan, NY",MANHATTAN,816,4,CR
1-816-1,COLUMBIA UNIVERSITY,"530 AVENUE OF THE AMERIC, Manhattan, NY",MANHATTAN,816,1,AP
1-816-6,COLUMBIA UNIVERSITY,"Block 816 Lot 6, Manhattan, NY",MANHATTAN,816,6,PA
2-3273-638,FORDHAM UNIVERSITY,"2532 HUGHES AVENUE, Bronx, NY",BRONX,3273,638,PA
1-2124-43,COLUMBIA UNIVERSITY,"3940 BROADWAY, Manhattan, NY",MANHATTAN,2124,43,PA
1-1885-1001,COLUMBIA UNIVERSITY,"Block 1885 Lot 1001, Manhattan, NY",MANHATTAN,1885,1001,PA
1-1341-33,COLUMBIA UNIVERSITY,"338-342 EAST 49TH STREET, Manhattan, NY",MANHATTAN,1341,33,AP
1-1171-4357,NEW YORK UNIVERSITY,"60 RIVERSIDE BOULEVARD, Manhattan, NY",MANHATTAN,1171,4357,SC
1-1132-1133,COLUMBIA UNIVERSITY,"161 WEST 61ST STREET, Manhattan, NY",MANHATTAN,1132,1133,SC
1-571-27,THE NEW SCHOOL,"nan EAST 12TH   STREET, Manhattan, NY",MANHATTAN,571,27,PA
1-537-17,NEW YORK UNIVERSITY,"68 WEST 3 STREET, Manhattan, NY",MANHATTAN,537,17,AP
1-1012-29,THE NEW SCHOOL,"205 WEST 40 STREET, Manhattan, NY",MANHATTAN,1012,29,CR
2-3273-343,FORDHAM UNIVERSITY,"587 EAST 191 STREET, Bronx, NY",BRONX,3273,343,OT
1-1997-56,COLUMBIA UNIVERSITY,"638 WEST 131 STREET, Manhattan, NY",MANHATTAN,1997,56,OT
1-1993-43,COLUMBIA UNIVERSITY,"170 CLAREMONT AVENUE, Manhattan, NY",MANHATTAN,1993,43,SP
1-996-21,NEW YORK UNIVERSITY,"113 WEST 43RD STREET, Manhattan, NY",MANHATTAN,996,21,CR
1-546-3,NEW YORK UNIVERSITY,"Block 546 Lot 3, Manhattan, NY",MANHATTAN,546,3,PA
1-642-1157,NEW YORK UNIVERSITY,"99 JANE STREET, Manhattan, NY",MANHATTAN,642,1157,SC
1-2255-2000,COLUMBIA UNIVERSITY,"269 DYCKMAN STREET, Manhattan, NY",MANHATTAN,2255,2000,PA
3-1103-56,NEW YORK UNIVERSITY,"455 15TH STREET, Brooklyn, NY",BROOKLYN,1103,56,D2
1-2074-32,COLUMBIA UNIVERSITY,"117 HAMILTON PLACE, Manhattan, NY",MANHATTAN,2074,32,PA
1-1963-30,COLUMBIA UNIVERSITY,"420 WEST 121 STREET, Manhattan, NY",MANHATTAN,1963,30,CR
1-790-1103,NEW YORK UNIVERSITY,"125 WEST 14 STREET, Manhattan, NY",MANHATTAN,790,1103,PA
1-594-1393,NEW YORK UNIVERSITY,"505 GREENWICH STREET, Manhattan, NY",MANHATTAN,594,1393,SC
1-1875-40,COLUMBIA UNIVERSITY,"216 WEST 104TH STREET, Manhattan, NY",MANHATTAN,1875,40,AP
1-1875-41,COLUMBIA UNIVERSITY,"218 WEST 104TH STREET, Manhattan, NY",MANHATTAN,1875,41,AP
1-939-38,NEW YORK UNIVERSITY,"340 EAST 34TH   STREET, Manhattan, NY",MANHATTAN,939,38,AP
1-1997-52,COLUMBIA UNIVERSITY,"630 WEST  131 STREET, Manhattan, NY",MANHATTAN,1997,52,PA
1-939-1001,NEW YORK UNIVERSITY,"303 EAST 33RD   STREET, Manhattan, NY",MANHATTAN,939,1001,CR
1-1501-20,COLUMBIA UNIVERSITY,"1239 MADISON AVENUE, Manhattan, NY",MANHATTAN,1501,20,PA
1-546-20,NEW YORK UNIVERSITY,"10 WASHINGTON PLACE, Manhattan, NY",MANHATTAN,546,20,PA
1-1996-29,COLUMBIA UNIVERSITY,"3221 BROADWAY, Manhattan, NY",MANHATTAN,1996,29,CR
1-1996-36,COLUMBIA UNIVERSITY,"3233 BROADWAY (ADJACENT TO), Manhattan, NY",MANHATTAN,1996,36,VN
1-1996-34,COLUMBIA UNIVERSITY,"3229 BROADWAY, Manhattan, NY",MANHATTAN,1996,34,PA
1-1996-15,COLUMBIA UNIVERSITY,"635 WEST 125TH ST., Manhattan, NY",MANHATTAN,1996,15,PA
3-966-51,COLUMBIA UNIVERSITY,"443 1 STREET, Brooklyn, NY",BROOKLYN,966,51,PA
3-963-80,THE NEW SCHOOL,"173 GARFIELD PLACE, Brooklyn, NY",BROOKLYN,963,80,PA
1-1012-32,THE NEW SCHOOL,"566 7 AVENUE, Manhattan, NY",MANHATTAN,1012,32,OF
4-2488-33,COLUMBIA UNIVERSITY,"73-52 52ND DRIVE, Queens, NY",QUEENS,2488,33,D1
1-931-24,NEW YORK UNIVERSITY,"339 EAST 25TH   STREET, Manhattan, NY",MANHATTAN,931,24,OT
1-860-12,COLUMBIA UNIVERSITY,"15 EAST 30TH STREET, Manhattan, NY",MANHATTAN,860,12,AP
1-1865-40,COLUMBIA UNIVERSITY,"1 MORNINGSIDE DRIVE, Manhattan, NY",MANHATTAN,1865,40,AP
1-1865-10,COLUMBIA UNIVERSITY,"nan AMSTERDAM AVENUE, Manhattan, NY",MANHATTAN,1865,10,VN
1-1865-8010,COLUMBIA UNIVERSITY,"nan AMSTERDAM AVENUE, Manhattan, NY",MANHATTAN,1865,8010,OT
1-1865-20,COLUMBIA UNIVERSITY,"400 WEST 113TH STREET, Manhattan, NY",MANHATTAN,1865,20,AP
1-1865-30,COLUMBIA UNIVERSITY,"1021 AMSTERDAM AVENUE, Manhattan, NY",MANHATTAN,1865,30,VN
1-1133-11,FORDHAM UNIVERSITY,"Block 1133 Lot 11, Manhattan, NY",MANHATTAN,1133,11,PA
1-1518-1090,COLUMBIA UNIVERSITY,"120 EAST 90 STREET, Manhattan, NY",MANHATTAN,1518,1090,SC
2-3056-14,FORDHAM UNIVERSITY,"2428 LORILLARD PLACE, Bronx, NY",BRONX,3056,14,PA
1-190-1442,NEW YORK UNIVERSITY,"25 NORTH MOORE STREET, Manhattan, NY",MANHATTAN,190,1442,SC
3-142-1002,NEW YORK UNIVERSITY,"94 TECH PLACE, Brooklyn, NY",BROOKLYN,142,1002,CC
1-879-1102,NEW YORK UNIVERSITY,"310 THIRD AVENUE, Manhattan, NY",MANHATTAN,879,1102,CC
1-879-1103,NEW YORK UNIVERSITY,"310 THIRD AVENUE, Manhattan, NY",MANHATTAN,879,1103,SC
1-879-1101,NEW YORK UNIVERSITY,"310 THIRD AVENUE, Manhattan, NY",MANHATTAN,879,1101,CC
1-1158-1545,COLUMBIA UNIVERSITY,"200 WEST END AVENUE, Manhattan, NY",MANHATTAN,1158,1545,SC
1-1867-43,COLUMBIA UNIVERSITY,"1123 AMSTERDAM AVENUE, Manhattan, NY",MANHATTAN,1867,43,PA
1-1867-44,COLUMBIA UNIVERSITY,"1125 AMSTERDAM AVENUE, Manhattan, NY",MANHATTAN,1867,44,PA
1-1867-42,COLUMBIA UNIVERSITY,"1121 AMSTERDAM AVENUE, Manhattan, NY",MANHATTAN,1867,42,PA
1-602-1119,NEW YORK UNIVERSITY,"1 MORTON SQUARE, Manhattan, NY",MANHATTAN,602,1119,SC
1-1300-127,COLUMBIA UNIVERSITY,"145 EAST   45 STREET, Manhattan, NY",MANHATTAN,1300,127,PA
1-923-1,NEW YORK UNIVERSITY,"302 2 AVENUE, Manhattan, NY",MANHATTAN,923,1,CR
2-3153-9,FORDHAM UNIVERSITY,"2488 GRAND CONCOURSE, Bronx, NY",BRONX,3153,9,OF
1-746-9,FORDHAM UNIVERSITY,"355 WEST 22ND   STREET, Manhattan, NY",MANHATTAN,746,9,AP
3-133-17,COLUMBIA UNIVERSITY,"164 TILLARY STREET, Brooklyn, NY",BROOKLYN,133,17,PA
1-1961-57,COLUMBIA UNIVERSITY,"74 MORNINGSIDE DRIVE, Manhattan, NY",MANHATTAN,1961,57,AP
1-1492-163,COLUMBIA UNIVERSITY,"14 EAST 81ST STREET, Manhattan, NY",MANHATTAN,1492,163,D1
1-541-30,NEW YORK UNIVERSITY,"Block 541 Lot 30, Manhattan, NY",MANHATTAN,541,30,PA
1-541-28,NEW YORK UNIVERSITY,"Block 541 Lot 28, Manhattan, NY",MANHATTAN,541,28,PA
1-547-18,NEW YORK UNIVERSITY,"285 MERCER STREET, Manhattan, NY",MANHATTAN,547,18,PA
1-547-15,NEW YORK UNIVERSITY,"12 WAVERLY PLACE, Manhattan, NY",MANHATTAN,547,15,PA
1-2004-12,COLUMBIA UNIVERSITY,"702 12 AVENUE, Manhattan, NY",MANHATTAN,2004,12,PA
1-1024-38,COLUMBIA UNIVERSITY,"1680 BROADWAY, Manhattan, NY",MANHATTAN,1024,38,OF
1-1881-56,COLUMBIA UNIVERSITY,"550 WEST 110TH ST., Manhattan, NY",MANHATTAN,1881,56,RS
1-1881-4,COLUMBIA UNIVERSITY,"2828 BROADWAY, Manhattan, NY",MANHATTAN,1881,4,PA
3-1893-10,PRATT INSTITUTE,"89 GRAND AVENUE, Brooklyn, NY",BROOKLYN,1893,10,PA
3-1893-13,PRATT INSTITUTE,"83 GRAND AVENUE, Brooklyn, NY",BROOKLYN,1893,13,PA
3-1893-40,PRATT INSTITUTE,"84 STEUBEN STREET, Brooklyn, NY",BROOKLYN,1893,40,PA
3-1893-11,PRATT INSTITUTE,"85 GRAND AVENUE, Brooklyn, NY",BROOKLYN,1893,11,PA
3-1893-43,PRATT INSTITUTE,"nan STEUBEN STREET, Brooklyn, NY",BROOKLYN,1893,43,PA
3-1893-42,PRATT INSTITUTE,"nan STEUBEN STREET, Brooklyn, NY",BROOKLYN,1893,42,PA
3-1893-41,PRATT INSTITUTE,"nan STEUBEN STREET, Brooklyn, NY",BROOKLYN,1893,41,PA
1-1889-66,COLUMBIA UNIVERSITY,"310 WEST 102 STREET, Manhattan, NY",MANHATTAN,1889,66,RG
1-1843-44,COLUMBIA UNIVERSITY,"166 MANHATTAN AVENUE, Manhattan, NY",MANHATTAN,1843,44,PA
1-894-61,FORDHAM UNIVERSITY,"136 EAST 39TH   STREET, Manhattan, NY",MANHATTAN,894,61,OF
3-149-1,COLUMBIA UNIVERSITY,"138 WILLOUGHBY STREET, Brooklyn, NY",BROOKLYN,149,1,CR
3-6036-53,COLUMBIA UNIVERSITY,"531 86TH STREET, Brooklyn, NY",BROOKLYN,6036,53,CR
3-5082-55,COLUMBIA UNIVERSITY,"2101 CHURCH AVENUE, Brooklyn, NY",BROOKLYN,5082,55,OT
1-1885-1,COLUMBIA UNIVERSITY,"2900 BROADWAY, Manhattan, NY",MANHATTAN,1885,1,PA
1-1885-3,COLUMBIA UNIVERSITY,"Block 1885 Lot 3, Manhattan, NY",MANHATTAN,1885,3,PA
3-2340-1556,NEW YORK UNIVERSITY,"2 NORTHSIDE PIERS, Brooklyn, NY",BROOKLYN,2340,1556,SC
2-5752-121,NEW YORK UNIVERSITY,"2 RIVER AVENUE, Bronx, NY",BRONX,5752,121,PA
1-2139-231,COLUMBIA UNIVERSITY,"106 HAVEN AVENUE, Manhattan, NY",MANHATTAN,2139,231,AP
1-870-1052,THE NEW SCHOOL,"1 IRVING PLACE, Manhattan, NY",MANHATTAN,870,1052,SC
1-886-31,COLUMBIA UNIVERSITY,"133 EAST 30TH STREET, Manhattan, NY",MANHATTAN,886,31,SP
1-642-1169,NEW YORK UNIVERSITY,"99 JANE STREET, Manhattan, NY",MANHATTAN,642,1169,SC
1-78-20,COLUMBIA UNIVERSITY,"106 FULTON STREET, Manhattan, NY",MANHATTAN,78,20,CR
2-5796-117,COLUMBIA UNIVERSITY,"518 TULFAN TERRACE, Bronx, NY",BRONX,5796,117,AP
1-1377-1106,NEW YORK UNIVERSITY,"1 EAST 62ND STREET, Manhattan, NY",MANHATTAN,1377,1106,MC
1-1526-1068,NEW YORK UNIVERSITY,"201 E 80 ST, Manhattan, NY",MANHATTAN,1526,1068,SC
1-1433-12,COLUMBIA UNIVERSITY,"223 EAST 78TH STREET, Manhattan, NY",MANHATTAN,1433,12,SP
1-1253-1131,NEW YORK UNIVERSITY,"222 RIVERSIDE DRIVE, Manhattan, NY",MANHATTAN,1253,1131,PA
3-312-44,NEW YORK UNIVERSITY,"241 KANE STREET, Brooklyn, NY",BROOKLYN,312,44,PA
1-642-1176,NEW YORK UNIVERSITY,"99 JANE STREET, Manhattan, NY",MANHATTAN,642,1176,PA
1-642-1177,NEW YORK UNIVERSITY,"99 JANE STREET, Manhattan, NY",MANHATTAN,642,1177,PA
1-552-22,NEW YORK UNIVERSITY,"33 WASHINGTON SQUARE W, Manhattan, NY",MANHATTAN,552,22,PA
1-574-27,NEW YORK UNIVERSITY,"34 WEST 11TH   STREET, Manhattan, NY",MANHATTAN,574,27,D1
1-743-47,THE NEW SCHOOL,"189 8 AVENUE, Manhattan, NY",MANHATTAN,743,47,AP
1-576-1514,NEW YORK UNIVERSITY,"59 WEST 12TH   STREET, Manhattan, NY",MANHATTAN,576,1514,SC
3-5544-10,COLUMBIA UNIVERSITY,"6401 15TH   AVENUE, Brooklyn, NY",BROOKLYN,5544,10,D2
3-1903-7,PRATT INSTITUTE,"185 WAVERLY AVENUE, Brooklyn, NY",BROOKLYN,1903,7,D2
1-2139-166,COLUMBIA UNIVERSITY,"83 HAVEN AVENUE, Manhattan, NY",MANHATTAN,2139,166,PA
1-2139-30,COLUMBIA UNIVERSITY,"46 HAVEN AVENUE, Manhattan, NY",MANHATTAN,2139,30,PA
1-230-42,COLUMBIA UNIVERSITY,"5-7 MERCER STREET, Manhattan, NY",MANHATTAN,230,42,AP
1-538-27,NEW YORK UNIVERSITY,"58 WASHINGTON SQUARE SOUTH, Manhattan, NY",MANHATTAN,538,27,OT
1-1997-55,COLUMBIA UNIVERSITY,"636 WEST 131 STREET, Manhattan, NY",MANHATTAN,1997,55,VN
2-2578-21,COLUMBIA UNIVERSITY,"415 CONCORD AVENUE, Bronx, NY",BRONX,2578,21,PA
2-5824-2496,COLUMBIA UNIVERSITY,"4667 DELAFIELD AVENUE, Bronx, NY",BRONX,5824,2496,OT
1-546-5,NEW YORK UNIVERSITY,"82 WASHINGTON SQUARE E, Manhattan, NY",MANHATTAN,546,5,OT
1-577-1003,THE NEW SCHOOL,"72 5TH AVENUE, Manhattan, NY",MANHATTAN,577,1003,CC
1-577-1004,THE NEW SCHOOL,"72 5TH AVENUE, Manhattan, NY",MANHATTAN,577,1004,CC
3-6498-1,COLUMBIA UNIVERSITY,"1002 FOSTER AVENUE, Brooklyn, NY",BROOKLYN,6498,1,PA
1-540-15,NEW YORK UNIVERSITY,"Block 540 Lot 15, Manhattan, NY",MANHATTAN,540,15,PA
