CorporationName,building_address,business_address,RegistrationID,BuildingID,Boro,BoroID,Block,Lot,BIN,RegistrationContactID
NEW YORK UNIVERSITY,"237 THOMPSON STREET, NEW YORK, NY, 10012","70 WASHINGTON SQ S APARTMENT 1206, NEW YORK, NY 10012",142527,859476,MANHATTAN,1,541,7501,1086188.0,14252703
NEW YORK UNIVERSITY,"237 THOMPSON STREET, NEW YORK, NY, 10012","245 SULLIVAN APARTMENT LC-20, NEW YORK, NY 10012",142527,859476,MANHATTAN,1,541,7501,1086188.0,14252704
TRUSTEES OF COLUMBIA UNIVERSITY,"2890 BROADWAY, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",108070,7941,MANHATTAN,1,1884,61,1057014.0,10807003
TRUSTEES OF COLUMBIA UNIVERSITY,"47 CLAREMONT AVENUE, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",118793,9622,MANHATTAN,1,1990,33,1059824.0,11879303
TRUSTEES OF COLUMBIA UNIVERSITY,"411 WEST 116 STREET, NEW YORK, NY, 10027","400 WEST 119TH STREET, NEW YORK, NY 10027",121102,805873,MANHATTAN,1,1961,1,1083610.0,12110203
PRATT INSTITUTE,"215 WILLOUGHBY AVENUE, NEW YORK, NY, 11205","200 WILLOUGHBY AVENUE, Brooklyn, NY 11205",368566,396242,BROOKLYN,3,1905,120,3054897.0,36856603
PRATT INSTITUTE,"215 WILLOUGHBY AVENUE, NEW YORK, NY, 11205","200 WILLOUGHBY AVENUE, Brooklyn, NY 11205",368566,396242,BROOKLYN,3,1905,120,3054897.0,36856604
TRUSTEES OF COLUMBIA UNIVERSITY,"549 WEST 113 STREET, NEW YORK, NY, 10025","400 WEST 119TH STREET, NEW YORK, NY 10027",128836,38089,MANHATTAN,1,1885,7,1057021.0,12883603
TRUSTEES OF COLUMBIA UNIVERSITY,"544 WEST 110 STREET, NEW YORK, NY, 10025","400 W 119 ST, NEW YORK, NY 10027",127869,9064,MANHATTAN,1,1881,54,1056718.0,12786903
"ST JOHNS UNIVERSITY, NEW YORK","147-08 UNION TURNPIKE, NEW YORK, NY, 11367","8000 UTOPIA PARKWAY, JAMAICA, NY 11439",428416,830754,QUEENS,4,6715,35,4463912.0,42841603
